0,1,2,3,4,5
          41,Number,W06000001,Isle of Anglesey,WIMD,Total LSOAs
           2,Number,W06000001,Isle of Anglesey,WIMD,Most deprived 10% LSOAs in Wales (ranks 1-191)
           6,Number,W06000001,Isle of Anglesey,WIMD,Most deprived 20% LSOAs in Wales (ranks 1-382)
           9,Number,W06000001,Isle of Anglesey,WIMD,Most deprived 30% LSOAs in Wales (ranks 1-574)
          23,Number,W06000001,Isle of Anglesey,WIMD,Most deprived 50% LSOAs in Wales (ranks 1-958)
          41,Number,W06000001,Isle of Anglesey,Income,Total LSOAs
           2,Number,W06000001,Isle of Anglesey,Income,Most deprived 10% LSOAs in Wales (ranks 1-191)
           6,Number,W06000001,Isle of Anglesey,Income,Most deprived 20% LSOAs in Wales (ranks 1-382)
           8,Number,W06000001,Isle of Anglesey,Income,Most deprived 30% LSOAs in Wales (ranks 1-574)
          20,Number,W06000001,Isle of Anglesey,Income,Most deprived 50% LSOAs in Wales (ranks 1-958)
          41,Number,W06000001,Isle of Anglesey,Employment,Total LSOAs
           3,Number,W06000001,Isle of Anglesey,Employment,Most deprived 10% LSOAs in Wales (ranks 1-191)
           5,Number,W06000001,Isle of Anglesey,Employment,Most deprived 20% LSOAs in Wales (ranks 1-382)
           7,Number,W06000001,Isle of Anglesey,Employment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          13,Number,W06000001,Isle of Anglesey,Employment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          41,Number,W06000001,Isle of Anglesey,Health,Total LSOAs
           1,Number,W06000001,Isle of Anglesey,Health,Most deprived 10% LSOAs in Wales (ranks 1-191)
           4,Number,W06000001,Isle of Anglesey,Health,Most deprived 20% LSOAs in Wales (ranks 1-382)
           7,Number,W06000001,Isle of Anglesey,Health,Most deprived 30% LSOAs in Wales (ranks 1-574)
           9,Number,W06000001,Isle of Anglesey,Health,Most deprived 50% LSOAs in Wales (ranks 1-958)
          41,Number,W06000001,Isle of Anglesey,Education,Total LSOAs
           2,Number,W06000001,Isle of Anglesey,Education,Most deprived 10% LSOAs in Wales (ranks 1-191)
           6,Number,W06000001,Isle of Anglesey,Education,Most deprived 20% LSOAs in Wales (ranks 1-382)
           9,Number,W06000001,Isle of Anglesey,Education,Most deprived 30% LSOAs in Wales (ranks 1-574)
          23,Number,W06000001,Isle of Anglesey,Education,Most deprived 50% LSOAs in Wales (ranks 1-958)
          41,Number,W06000001,Isle of Anglesey,Access to services,Total LSOAs
          11,Number,W06000001,Isle of Anglesey,Access to services,Most deprived 10% LSOAs in Wales (ranks 1-191)
          22,Number,W06000001,Isle of Anglesey,Access to services,Most deprived 20% LSOAs in Wales (ranks 1-382)
          25,Number,W06000001,Isle of Anglesey,Access to services,Most deprived 30% LSOAs in Wales (ranks 1-574)
          30,Number,W06000001,Isle of Anglesey,Access to services,Most deprived 50% LSOAs in Wales (ranks 1-958)
          41,Number,W06000001,Isle of Anglesey,Housing,Total LSOAs
          11,Number,W06000001,Isle of Anglesey,Housing,Most deprived 10% LSOAs in Wales (ranks 1-191)
          17,Number,W06000001,Isle of Anglesey,Housing,Most deprived 20% LSOAs in Wales (ranks 1-382)
          24,Number,W06000001,Isle of Anglesey,Housing,Most deprived 30% LSOAs in Wales (ranks 1-574)
          31,Number,W06000001,Isle of Anglesey,Housing,Most deprived 50% LSOAs in Wales (ranks 1-958)
          41,Number,W06000001,Isle of Anglesey,Community safety,Total LSOAs
           2,Number,W06000001,Isle of Anglesey,Community safety,Most deprived 10% LSOAs in Wales (ranks 1-191)
           7,Number,W06000001,Isle of Anglesey,Community safety,Most deprived 20% LSOAs in Wales (ranks 1-382)
           8,Number,W06000001,Isle of Anglesey,Community safety,Most deprived 30% LSOAs in Wales (ranks 1-574)
          14,Number,W06000001,Isle of Anglesey,Community safety,Most deprived 50% LSOAs in Wales (ranks 1-958)
          41,Number,W06000001,Isle of Anglesey,Physical environment,Total LSOAs
           0,Number,W06000001,Isle of Anglesey,Physical environment,Most deprived 10% LSOAs in Wales (ranks 1-191)
           1,Number,W06000001,Isle of Anglesey,Physical environment,Most deprived 20% LSOAs in Wales (ranks 1-382)
           3,Number,W06000001,Isle of Anglesey,Physical environment,Most deprived 30% LSOAs in Wales (ranks 1-574)
           7,Number,W06000001,Isle of Anglesey,Physical environment,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000002,Gwynedd,WIMD,Total LSOAs
           3,Number,W06000002,Gwynedd,WIMD,Most deprived 10% LSOAs in Wales (ranks 1-191)
           3,Number,W06000002,Gwynedd,WIMD,Most deprived 20% LSOAs in Wales (ranks 1-382)
          11,Number,W06000002,Gwynedd,WIMD,Most deprived 30% LSOAs in Wales (ranks 1-574)
          36,Number,W06000002,Gwynedd,WIMD,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000002,Gwynedd,Income,Total LSOAs
           3,Number,W06000002,Gwynedd,Income,Most deprived 10% LSOAs in Wales (ranks 1-191)
           3,Number,W06000002,Gwynedd,Income,Most deprived 20% LSOAs in Wales (ranks 1-382)
           9,Number,W06000002,Gwynedd,Income,Most deprived 30% LSOAs in Wales (ranks 1-574)
          27,Number,W06000002,Gwynedd,Income,Most deprived 50% LSOAs in Wales (ranks 1-958)
          71,Number,W06000002,Gwynedd,Employment,Total LSOAs
           1,Number,W06000002,Gwynedd,Employment,Most deprived 10% LSOAs in Wales (ranks 1-191)
           3,Number,W06000002,Gwynedd,Employment,Most deprived 20% LSOAs in Wales (ranks 1-382)
           5,Number,W06000002,Gwynedd,Employment,Most deprived 30% LSOAs in Wales (ranks 1-574)
          20,Number,W06000002,Gwynedd,Employment,Most deprived 50% LSOAs in Wales (ranks 1-958)
