,small_area,geometry,WIMD 2025 overall quintile
0,W01001694,"POLYGON ((-3.1548319492879595 51.48792759429145, -3.1537004438625678 51.48624838405672, -3.1544649552696353 51.48497580704995, -3.152735531223268 51.48634812658025, -3.152072584925951 51.486224188365874, -3.1537326359272604 51.48478834481197, -3.154166268125572 51.484377468717696, -3.155329561028092 51.48467808394279, -3.1561011292209162 51.484361390778666, -3.1559471737889147 51.48412681754097, -3.1566581676719583 51.484155485210536, -3.157871157478488 51.483478299522865, -3.15840446371951 51.48378799158966, -3.1591199006612927 51.483451385391135, -3.159590168572235 51.48376407726555, -3.1594573537558235 51.48417953794591, -3.160135876007374 51.48400911206344, -3.160085849574325 51.4844425221129, -3.1606125166272734 51.484366552427005, -3.160406362093725 51.48507745145378, -3.1616306135432777 51.48610019681923, -3.161308748443576 51.486320126063916, -3.160929499977071 51.486533688065855, -3.1596498804833457 51.48737177346365, -3.158549746978306 51.486445100552736, -3.158519341421596 51.48679670537009, -3.157677827270395 51.4872221335164, -3.1564110228624167 51.48738120293845, -3.1566645547494443 51.48774875439655, -3.1562168973257725 51.48787117041856, -3.155983046874606 51.48754079426793, -3.1548319492879595 51.48792759429145))",1
1,W01001695,"POLYGON ((-3.166131521241365 51.47856076153236, -3.1714117105542945 51.47728898935485, -3.1703845954741428 51.479017449224386, -3.1700256410802887 51.4806934291888, -3.1706404137755064 51.4830496202008, -3.168118093240448 51.48372721745907, -3.166277477217443 51.48448397936162, -3.16600906595009 51.48457928368664, -3.1641393120460415 51.48522596991256, -3.1643489630571295 51.48482336714465, -3.1634246864424407 51.48415814990017, -3.162793508163923 51.484130826787116, -3.1622732561031714 51.48321901277591, -3.1625801686634327 51.48301808137345, -3.16258188398834 51.4821869875963, -3.161734623846661 51.481693143311496, -3.162646059334622 51.48051531331183, -3.1622342372094354 51.48032812073479, -3.1618747564545067 51.479970137243434, -3.166005575015458 51.47859337801793, -3.166131521241365 51.47856076153236))",2
2,W01001696,"POLYGON ((-3.160406362093725 51.48507745145378, -3.1606125166272734 51.484366552427005, -3.160085849574325 51.4844425221129, -3.160135876007374 51.48400911206344, -3.1594573537558235 51.48417953794591, -3.159590168572235 51.48376407726555, -3.1591199006612927 51.483451385391135, -3.15840446371951 51.48378799158966, -3.157871157478488 51.483478299522865, -3.1566581676719583 51.484155485210536, -3.1559471737889147 51.48412681754097, -3.1561011292209162 51.484361390778666, -3.155329561028092 51.48467808394279, -3.154166268125572 51.484377468717696, -3.1554488288323275 51.48330322273868, -3.1565216790056594 51.482591378017986, -3.1579173654853654 51.48182153499223, -3.1586702132575253 51.48143418110156, -3.159852547237642 51.48088619865024, -3.1618664898951128 51.47997351020606, -3.1618747564545067 51.479970137243434, -3.1622342372094354 51.48032812073479, -3.162646059334622 51.48051531331183, -3.161734623846661 51.481693143311496, -3.16258188398834 51.4821869875963, -3.1625801686634327 51.48301808137345, -3.1622732561031714 51.48321901277591, -3.162793508163923 51.484130826787116, -3.1634246864424407 51.48415814990017, -3.1643489630571295 51.48482336714465, -3.1641393120460415 51.48522596991256, -3.162151091765919 51.48592360831752, -3.161308748443576 51.486320126063916, -3.1616306135432777 51.48610019681923, -3.160406362093725 51.48507745145378))",1
3,W01001697,"POLYGON ((-3.1426684472400974 51.49405725544875, -3.1482702913279708 51.48951030256, -3.14846892849234 51.48933602756282, -3.149589830631181 51.48836743737937, -3.1512936484628766 51.48689390371847, -3.151441114383108 51.48676516637658, -3.152072584925951 51.486224188365874, -3.152735531223268 51.48634812658025, -3.1544649552696353 51.48497580704995, -3.1537004438625678 51.48624838405672, -3.1548319492879595 51.48792759429145, -3.15465717256623 51.48829061881025, -3.154660417661991 51.48829501086213, -3.1530415505296645 51.48874767859567, -3.152894144542058 51.48852890779612, -3.151859997525798 51.48901125409087, -3.1511874469431116 51.48809414981466, -3.1507717162756945 51.488153594006434, -3.1506242958742248 51.48872255482229, -3.1512331747090347 51.4894141594727, -3.15061858908605 51.4903360788296, -3.1495044536967822 51.49055231880851, -3.150611086521598 51.491195875464086, -3.148454546966566 51.49173754062232, -3.144590657359578 51.49387854148971, -3.144057902629992 51.49374257749853, -3.143056398435221 51.49424601704725, -3.1424792075774923 51.49421471736887, -3.1426684472400974 51.49405725544875))",2
4,W01001698,"POLYGON ((-3.154521652912577 51.49146215134541, -3.1521464439814544 51.4911436708542, -3.150611086521598 51.491195875464086, -3.1495044536967822 51.49055231880851, -3.15061858908605 51.4903360788296, -3.1512331747090347 51.4894141594727, -3.1506242958742248 51.48872255482229, -3.1507717162756945 51.488153594006434, -3.1511874469431116 51.48809414981466, -3.151859997525798 51.48901125409087, -3.152894144542058 51.48852890779612, -3.1530415505296645 51.48874767859567, -3.154660417661991 51.48829501086213, -3.15465717256623 51.48829061881025, -3.1548319492879595 51.48792759429145, -3.155983046874606 51.48754079426793, -3.1562168973257725 51.48787117041856, -3.1566645547494443 51.48774875439655, -3.1564110228624167 51.48738120293845, -3.157677827270395 51.4872221335164, -3.158519341421596 51.48679670537009, -3.158549746978306 51.486445100552736, -3.1596498804833457 51.48737177346365, -3.157939292931704 51.4890815792153, -3.156995973943151 51.490204829518866, -3.1565491880137557 51.49070061725213, -3.155391417755879 51.491449087840515, -3.154521652912577 51.49146215134541))",1
5,W01001699,"POLYGON ((-3.168601327952637 51.47088854953522, -3.1680798558769254 51.47020136834417, -3.166999684101273 51.468494668203114, -3.165822633296173 51.469093121084484, -3.164978411307026 51.46770549909323, -3.1659644229287127 51.46741694632115, -3.165778187453312 51.46688827467626, -3.166497184262301 51.46674031760404, -3.1663294165332716 51.466487146608856, -3.166619457449317 51.465880443299206, -3.1668239085125443 51.46625615948798, -3.1677448566434605 51.46575811563449, -3.168647357908191 51.46588372206269, -3.1687861234299994 51.46551031530705, -3.170578402443968 51.46576271128074, -3.1701507143007577 51.46673286787356, -3.170163699871786 51.46688084438256, -3.1709065464485886 51.467759961288266, -3.1717558882107517 51.468400321700095, -3.1727207647456996 51.46892515366778, -3.1751379426842283 51.46977116011636, -3.1747246777445 51.46993714787905, -3.1751239405457796 51.47034677513182, -3.175185697053624 51.4705957271139, -3.1733948721486045 51.47093636824877, -3.173020700483435 51.470290751684765, -3.1713020987150418 51.470654781478935, -3.1725215241382028 51.472297384698216, -3.1733753277465744 51.472503200558954, -3.1735025355026463 51.47270509984894, -3.172644871821913 51.47271952680347, -3.1717426668889597 51.473819133532054, -3.171943805528039 51.47413613844568, -3.1713028516214354 51.47430037936495, -3.1709752069045845 51.4740169720017, -3.169450754250148 51.47201306162142, -3.1687338505357667 51.47106399169296, -3.168601327952637 51.47088854953522))",1
6,W01001702,"POLYGON ((-3.2560634558211508 51.47188995866224, -3.255050052930338 51.471351703123844, -3.254451999271331 51.471673898471224, -3.2547012857191353 51.47200338570167, -3.254196528693972 51.47225130538376, -3.2536988067472867 51.47208753042824, -3.2534742433448605 51.47172214150233, -3.255995088173519 51.47035344744953, -3.2564906095892696 51.470389325162195, -3.2567053662847267 51.470004148595635, -3.258965024139793 51.47011085329614, -3.2592939072363394 51.4698771886925, -3.259127455768536 51.46947422536374, -3.257797339508719 51.46910630331097, -3.257040651479706 51.468737061763214, -3.2573306731814196 51.4672428896679, -3.2569154203438555 51.46683233518389, -3.257037373125009 51.46568164329426, -3.2582138204880504 51.46569878541161, -3.2581145838488497 51.465453356411295, -3.260179450771187 51.46556860700057, -3.267741247590506 51.465009983223965, -3.2698376860756766 51.465299898308, -3.269403338745948 51.46664283018541, -3.2685655906187243 51.4671618986276, -3.2671518321284854 51.46771946106756, -3.261891245651996 51.4701405273562, -3.260479237654244 51.47074850655319, -3.260032786440979 51.470943145061085, -3.256923828415176 51.47289877407821, -3.256200308613702 51.47252247245744, -3.2560634558211508 51.47188995866224))",2
7,W01001703,"POLYGON ((-3.2466667854977733 51.47248075755809, -3.2462238565471444 51.47212011377749, -3.2434191480466814 51.47272383590909, -3.243177680744711 51.472335398598695, -3.24131931003988 51.472718465873015, -3.2411931726212146 51.47241901980082, -3.2418490353251426 51.472087668544404, -3.24063189940805 51.47184373758186, -3.2397868906002243 51.47081349227833, -3.2415473592965562 51.47030772021063, -3.2428938706351045 51.469218566396414, -3.2433679527896695 51.46934699084865, -3.2439259487696765 51.46854204342376, -3.2447119932000588 51.46938873782001, -3.2461278902153174 51.468986060782626, -3.246350376597771 51.469768632942774, -3.247065792241944 51.470250961875465, -3.246063460041994 51.47066661926967, -3.247225222639806 51.47136378983701, -3.2486011763532856 51.47116949727432, -3.249099540592949 51.47142766232065, -3.2491019148033864 51.47195307463871, -3.249292993995102 51.47266876964818, -3.2503043515837504 51.47312075098325, -3.2488214101488606 51.473797549184816, -3.2491076626814994 51.474028120166864, -3.2486627475057253 51.47435520351075, -3.24798590803653 51.47442244205368, -3.247717329358148 51.47385537661098, -3.2465409342790172 51.47349066334447, -3.245739088775746 51.472958310189796, -3.2466667854977733 51.47248075755809))",1
8,W01001704,"POLYGON ((-3.2384111566248466 51.47678990966479, -3.238267844593188 51.47631277645129, -3.236822341117987 51.47720583580617, -3.236225554232061 51.476799363104135, -3.2381693753861254 51.4754899641024, -3.2379395985035737 51.475139828104695, -3.2351084260480825 51.476905724248844, -3.235128336346149 51.47622703463807, -3.233961093731011 51.475827548271006, -3.236338712833122 51.47479597310852, -3.2365166582750815 51.47429936712732, -3.2331888860472358 51.474466197100895, -3.232396187070166 51.47390535936262, -3.2297393250989663 51.47337528986654, -3.23053548712255 51.472636823689875, -3.2344150478610882 51.47234145622378, -3.2371407193082344 51.47151799499262, -3.2397868906002243 51.47081349227833, -3.24063189940805 51.47184373758186, -3.2418490353251426 51.472087668544404, -3.2411931726212146 51.47241901980082, -3.24131931003988 51.472718465873015, -3.243177680744711 51.472335398598695, -3.2434191480466814 51.47272383590909, -3.2436135651548392 51.47320013790013, -3.2412539740536848 51.47363825454215, -3.2406031624627945 51.47333067619722, -3.240031213240574 51.47427628088226, -3.239821086363142 51.47434299375659, -3.2385995401895706 51.47482770145799, -3.2394305418944342 51.47551607980342, -3.2419208037005562 51.47491949947475, -3.2421730778441273 51.47545176193549, -3.2433154222133553 51.47603889283414, -3.2419523813170357 51.47652769404054, -3.2400513382050873 51.47670322602472, -3.2399879330248056 51.47672325638866, -3.238648404630447 51.477248034825834, -3.2379981935915936 51.4769846312493, -3.2384111566248466 51.47678990966479))",1
9,W01001705,"POLYGON ((-3.247065792241944 51.470250961875465, -3.246350376597771 51.469768632942774, -3.2461278902153174 51.468986060782626, -3.2447119932000588 51.46938873782001, -3.2439259487696765 51.46854204342376, -3.2433679527896695 51.46934699084865, -3.2428938706351045 51.469218566396414, -3.2441893433476627 51.466080443257574, -3.2449876103378266 51.465574737878526, -3.248107150906821 51.46474330978691, -3.2480433333098464 51.46455494067349, -3.249289345687496 51.464396182981886, -3.2517836263798094 51.464611310259755, -3.252801734327132 51.46433471128543, -3.2579895204009968 51.46543318254149, -3.2581145838488497 51.465453356411295, -3.2582138204880504 51.46569878541161, -3.257037373125009 51.46568164329426, -3.2569154203438555 51.46683233518389, -3.2573306731814196 51.4672428896679, -3.257040651479706 51.468737061763214, -3.257797339508719 51.46910630331097, -3.259127455768536 51.46947422536374, -3.2592939072363394 51.4698771886925, -3.258965024139793 51.47011085329614, -3.2567053662847267 51.470004148595635, -3.2564906095892696 51.470389325162195, -3.255995088173519 51.47035344744953, -3.255737894859038 51.470253028648095, -3.254646390756924 51.47024575154061, -3.2523651274173435 51.4704323602428, -3.2518663757638007 51.470135080009676, -3.250611621666715 51.47019811742852, -3.248257508515301 51.4711402734672, -3.2486011763532856 51.47116949727432, -3.247225222639806 51.47136378983701, -3.246063460041994 51.47066661926967, -3.247065792241944 51.470250961875465))",1
